id,parser,gps,delay,level,lon,lat,vel
001066060879, 2014-05-09 00:09:01, 2014-05-09 00:08:57, 4, 5, 10.4310166666667, -67.0076166666667, 0
001066053789, 2014-05-09 00:09:08, 2014-05-09 00:09:05, 3, 5, 10.9002166666667, -64.0910833333333, 0
001066110252, 2014-05-09 00:09:21, 2014-05-09 00:09:14, 7, 5, 10.50415, -66.83185, 0
001069427406, 2014-05-09 00:09:22, 2014-05-09 00:09:15, 7, 5, 10.2179666666667, -67.59875, 0
001065434445, 2014-05-09 00:09:26, 2014-05-09 00:09:21, 5, 5, 10.2501666666667, -67.9056166666667, 0
001066060848, 2014-05-09 00:09:29, 2014-05-09 00:09:27, 2, 5, 9.96578333333333, -65.1287333333333, 0
001066087367, 2014-05-09 00:09:29, 2014-05-09 00:09:25, 4, 5, 10.50010666666667, -66.83195, 0
001066059996, 2014-05-09 00:09:32, 2014-05-09 00:09:27, 5, 5, 10.4321, -67.0067166666667, 0
001065436603, 2014-05-09 00:09:33, 2014-05-09 00:09:23, 10, 4, 10.2749833333333, -67.6248166666667, 0
001066053788, 2014-05-09 00:09:51, 2014-05-09 00:09:46, 5, 5, 10.43225, -67.0068, 0
001066053797, 2014-05-09 00:09:54, 2014-05-09 00:09:52, 2, 5, 10.4319333333333, -67.0066666666667, 0
001066060514, 2014-05-09 00:09:56, 2014-05-09 00:09:52, 4, 5, 10.43225, -67.0063666666667, 0
001066060624, 2014-05-09 00:09:59, 2014-05-09 00:09:54, 5, 5, 9.0207, -69.71525, 0
001066061037, 2014-05-09 00:10:14, 2014-05-09 00:10:12, 2, 5, 7.57086666666667, -71.99665, 0
001066053790, 2014-05-09 00:10:18, 2014-05-09 00:10:13, 5, 5, 10.4315166666667, -67.0069666666667, 0
001065436604, 2014-05-09 00:10:24, 2014-05-09 00:10:15, 9, 5, 10.46405, -66.7717333333333, 0
001066059991, 2014-05-09 00:10:26, 2014-05-09 00:10:21, 5, 5, 7.8847, -72.2444333333333, 0
001066242017, 2014-05-09 00:10:54, 2014-05-09 00:10:47, 7, 5, 10.4321, -67.0066666666667, 0
001066060370, 2014-05-09 00:11:05, 2014-05-09 00:11:03, 2, 5, 10.43245, -67.0063833333333, 0
